KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map04660 T cell receptor signaling pathway,4,18,491,1633,0.74,0.6088326190266661,0.22,E1BS97 A0A1D5PIQ5 P08642 A0A1L1RPJ2
map04662 B cell receptor signaling pathway,4,31,491,1633,0.43,0.04575145540938817,1.34,A0A1L1RPJ2 P08642 A0A8V0XW00 A0A8V0XHB9
map04664 Fc epsilon RI signaling pathway,5,29,491,1633,0.57,0.15448188208834862,0.81,A0A1D5PD64 A0A1L1RPJ2 P08642 A0A8V0XHB9 A0A1D5PIQ5
map04666 Fc gamma R-mediated phagocytosis,8,41,491,1633,0.65,0.16762802642888958,0.78,A0A8V1A3U0 H9L0D7 Q90WD0 Q5ZMV5 P53488 A0A1L1RPJ2 A0A8V0X8U3 A0A8V0XHB9
map04668 TNF signaling pathway,5,15,491,1633,1.11,0.7808707170519891,0.11,A0A1D5PD64 A0A3Q2UHM4 A0A8V0YXL9 A0A1L1RPJ2 A0A1D5PIQ5
map04670 Leukocyte transendothelial migration,12,36,491,1633,1.11,0.7136779116068873,0.15,A0A1D5NYE8 A0A8V0Y5A6 A0A8V0XWR2 A0A3Q2U1A5 A0A8V0YXL9 A0A8V0XMT9 A0A8V0ZD41 A0A8V1AH61 A0A8V0XTR4 A0A8V0ZIN3 A0A1L1RM08 A0A1D5PIQ5
map04713 Circadian entrainment,5,24,491,1633,0.69,0.37763988092645917,0.42,A0A1D5P2H5 A0A8V0XS64 E1BW98 A0A8V0X354 F1NLV4
map04714 Thermogenesis,44,80,491,1633,1.83,2.184843128259807e-06,5.66,A0A1D5PNM0 A0A3Q2UJ64 A0A8V0ZRZ8 A0A8V1AA37 A0A1D5PK92 A0A8V0Z2Y8 A0A8V0YZL1 E1C658 A0A1D5PD64 R4GGZ2 A0A8V0XW68 A0A8V0XCD2 A0A1D5PIQ5 A0A8V0X535 A0A8V1A4N7 P08642 A0A1D5P179 A0A8V0YC52 A0A8V0Z863 A0A8V0ZVA2 A0A8V1AH40 F1NIL3 A0A1D5NW93 A0A8V0Y9V7 A0A8V1A3B4 A0A8V0ZAL2 A0A8V0Y6X8 A0A8V1A624 A0A8V0Z7C7 A0A8V0YFF3 A0A8V0Y9X9 A0A8V0X6I3 A0A8V0Z1Z1 A0A8V0Z382 A0A8V0ZU95 A0A8V0ZC01 Q9YH14 A0A1D5P0U8 A0A8V0ZIN3 A0A8V0YCL9 F1NUX4 A0A1D5PN54 P18944 A0A8V0ZI98
map04720 Long-term potentiation,5,24,491,1633,0.69,0.37763988092645917,0.42,A0A8V0ZQN3 A0A1D5P2H5 A0A1L1RPJ2 P08642 A0A8V0Z5C6
map04721 Synaptic vesicle cycle,10,28,491,1633,1.19,0.5349077861625222,0.27,A0A8V1ABS2 A0A8V0YCH8 F1NBW2 A0A8V0ZBC9 A0A8V0ZZU2 A0A1D5PP57 A0A1D5PL88 A0A8V1AAC8 A0A8V0Y8W7 A0A1D5NV75
