Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00790 VHS domain,2,5,881,2004,0.91,1.0,-0.0,A0A8V1AHP0 A0A8V0XXP1
PF00899 ThiF family,2,4,881,2004,1.14,1.0,-0.0,A0A8V1A370 A0A8V0Z9M9
PF00932 Lamin Tail Domain,2,3,881,2004,1.52,0.5855930439397318,0.23,P13648 A0A8V0YY54
PF01019 Gamma-glutamyltranspeptidase,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V1A0M8 A0A8V0ZIZ5
"PF01067 Calpain large subunit, domain III",2,5,881,2004,0.91,1.0,-0.0,A0A8V0XE95 A0A8V0XAS9
"PF01088 Ubiquitin carboxyl-terminal hydrolase, family 1",2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0YGG7 A0A1L1RXA3
PF01105 emp24/gp25L/p24 family/GOLD,2,4,881,2004,1.14,1.0,-0.0,Q5ZLF6 A0A8V0ZUA4
PF01182 Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0Z832 Q5ZLA0
PF01187 Macrophage migration inhibitory factor (MIF),2,2,881,2004,2.27,0.19314341860464346,0.71,Q5ZMG0 A0A8V1AAF2
PF01217 Clathrin adaptor complex small chain,2,9,881,2004,0.51,0.3137810377745185,0.5,Q5ZL57 A0A8V0Z9Y8
PF01221 Dynein light chain type 1 ,2,3,881,2004,1.52,0.5855930439397318,0.23,Q5ZHX2 A0A8V1AB68
PF01223 DNA/RNA non-specific endonuclease,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V1A9K2 A0A8V0XWZ8
PF01248 Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,2,3,881,2004,1.52,0.5855930439397318,0.23,P84175 P32429
PF01301 Glycosyl hydrolases family 35,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0YZJ3 A0A8V0ZI47
PF01302 CAP-Gly domain,2,4,881,2004,1.14,1.0,-0.0,A0A8V0XTW4 A0A8V1A1U8
PF01363 FYVE zinc finger,3,6,881,2004,1.14,1.0,-0.0,A0A8V1AHP0 A0A1D5P7L9 A0A1D5PMX3
PF01399 PCI domain,7,11,881,2004,1.45,0.22934236763215138,0.64,A0A8V0X4M9 A0A1D5NXL7 A0A8V0ZY42 A0A8V0ZW50 A0A8V0XHV8 A0A8V0ZEY1 A0A8V0ZEC1
PF01412 Putative GTPase activating protein for Arf,4,4,881,2004,2.27,0.03720935511996398,1.43,A0A3Q3ALT4 A0A8V0ZKS5 A0A8V0Y8A2 A0A8V0X8U3
PF01421 Reprolysin (M12B) family zinc metalloprotease ,5,10,881,2004,1.14,0.7565443818846027,0.12,A0A8V0Y1A4 A0A1D5NZ82 A0A8V0Z9B8 A0A8V0ZCF7 A0A8V0YV92
PF01433 Peptidase family M1 domain,6,9,881,2004,1.52,0.19327309037758114,0.71,A0A8V0Z0I1 A0A8V0Y1W6 A0A8V0ZZ05 A0A8V1A0A4 A0A1L1RVF4 A0A8V0Y6Q3
PF01471 Putative peptidoglycan binding domain,4,7,881,2004,1.3,0.7062460964134833,0.15,E1C9E0 A0A8V1AN12 Q90611 A0A8V0XP02
PF01477 PLAT/LH2 domain,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0XHI6 P11602
PF01556 DnaJ C terminal domain,5,8,881,2004,1.42,0.31084704962673065,0.51,A0A8V0ZMT8 E1C599 A0A1L1RZR2 A0A8V0YQE8 A0A1D5NYA8
PF01583 Adenylylsulphate kinase,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0ZJD3 A0A8V0XTM2
