Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A8V0YZ27	4	6-phosphogluconate dehydrogenase, decarboxylating OS=Gallus gallus OX=9031 GN=PGD PE=1 SV=1	PGD	Down	0.5493503082752842
A0A1L1RPJ2	4	Dual specificity mitogen-activated protein kinase kinase 1 OS=Gallus gallus OX=9031 GN=MAP2K1 PE=1 SV=2	MAP2K1	Down	0.6243763307905933
A0A8V0YCC2	4	Nuclear distribution C, dynein complex regulator OS=Gallus gallus OX=9031 GN=NUDC PE=4 SV=1	NUDC	Down	0.6114508379846525
A0A8V0Z8Y2	4	Destrin OS=Gallus gallus OX=9031 GN=DSTN PE=1 SV=1	DSTN	Down	0.5017577341858318
A0A8V0ZPV0	4	Keratin 12 OS=Gallus gallus OX=9031 GN=LOC121107692 PE=1 SV=1	LOC121107692	Down	0.36750727459676935
A0A8V0Y6Z6	4	V-type proton ATPase subunit C OS=Gallus gallus OX=9031 GN=ATP6V1C1 PE=1 SV=1	ATP6V1C1	Down	0.37233322659835627
A0A8V0XGW5	4	Apovitellenin-1 OS=Gallus gallus OX=9031 GN=APOV1 PE=1 SV=1	APOV1	Down	0.4026207043861883
P25155	4	Coagulation factor X OS=Gallus gallus OX=9031 GN=F10 PE=1 SV=1	F10	Down	0.4369310066131582
A0A8V0Y6Y0	4	Dynein regulatory complex subunit 4 OS=Gallus gallus OX=9031 GN=GAS8 PE=3 SV=1	GAS8	Down	0.5934799292602355
A0A8V0ZK24	4	Keratin 13 OS=Gallus gallus OX=9031 GN=KRT13 PE=1 SV=1	KRT13	Down	0.4271926582037617
A0A8V0X348	4	Gamma-soluble NSF attachment protein OS=Gallus gallus OX=9031 GN=NAPG PE=1 SV=1	NAPG	Down	0.6380321792810594
A0A1D5PSI3	4	Heterogeneous nuclear ribonucleoprotein K OS=Gallus gallus OX=9031 GN=HNRNPKL PE=1 SV=2	HNRNPKL	Up	1.9054362009652424
A0A8V0XVV0	4	Thrombospondin type 1 domain containing 7B OS=Gallus gallus OX=9031 GN=THSD7B PE=4 SV=1	THSD7B	Up	1.7180760153007246
A0A8V0Z083	4	Elongation factor like GTPase 1 OS=Gallus gallus OX=9031 GN=EFL1 PE=1 SV=1	EFL1	Down	0.3285022500083026
A0A8V0YGN2	4	Microsomal glutathione S-transferase 1 OS=Gallus gallus OX=9031 GN=MGST1 PE=1 SV=1	MGST1	Up	1.9402924957341323
A0A1L1RKY9	4	Caldesmon 1 OS=Gallus gallus OX=9031 GN=CALD1 PE=1 SV=2	CALD1	Up	1.5371031926559808
A0A1D5NZ82	4	ADAM metallopeptidase with thrombospondin type 1 motif, 10 OS=Gallus gallus OX=9031 GN=ADAMTS10 PE=4 SV=2	ADAMTS10	Up	2.0424664655019398
A0A8V0Y0X2	4	Prominin 1 OS=Gallus gallus OX=9031 GN=PROM1 PE=3 SV=1	PROM1	Up	1.91253062162754
A0A1L1RRQ3	4	Kinesin associated protein 3 OS=Gallus gallus OX=9031 GN=KIFAP3 PE=1 SV=2	KIFAP3	Down	0.547934031000714
A0A1D5PP34	4	Exocyst complex component 7 OS=Gallus gallus OX=9031 GN=EXOC7 PE=1 SV=2	EXOC7	Down	0.5080739768846354
A0A8V0ZIM1	4	Secretogranin-3 OS=Gallus gallus OX=9031 GN=SCG3 PE=1 SV=1	SCG3	Down	0.4493249956942807
A0A8V0ZSX6	4	non-specific serine/threonine protein kinase OS=Gallus gallus OX=9031 GN=EIF2AK4 PE=1 SV=1	EIF2AK4	Up	2.4851964632938333
A0A3Q2TU24	4	Platelet-derived growth factor subunit A OS=Gallus gallus OX=9031 GN=PDGFA PE=3 SV=1	PDGFA	Up	2.1588816412233447
A0A8V0YXU7	4	Voltage-dependent anion-selective channel protein 3 OS=Gallus gallus OX=9031 GN=VDAC3 PE=1 SV=1	VDAC3	Down	0.5648393316788295
A0A8V0XWR2	4	Catenin alpha 3 OS=Gallus gallus OX=9031 GN=CTNNA3 PE=1 SV=1	CTNNA3	Down	0.6044504742257822
A0A8V0YY70	4	Tetratricopeptide repeat domain 8 OS=Gallus gallus OX=9031 GN=TTC8 PE=4 SV=1	TTC8	Down	0.6470121878581492
A0A3Q2UHM4	4	Dynamin-1-like protein OS=Gallus gallus OX=9031 GN=DNM1L PE=1 SV=1	DNM1L	Down	0.5156751381960359
A0A8V0ZZC5	4	Uncharacterized protein OS=Gallus gallus OX=9031 PE=1 SV=1	--	Down	0.6035097726810782
