Protein accession	Gene name	ratio	type
A0A8V0Y1A4	ADAMTS1	0.6069096496094917	Down
A0A8V0XAN3	SH3YL1	0.5392063240119382	Down
A0A8V0Y2E5	HAS2	0.4760434235769389	Down
A0A8V0Y413	THBS4	0.4731201804542832	Down
A0A8V0Y478	PCDHGC5	0.3966340370027986	Down
A0A8V0XA34	--	0.6395459486933319	Down
A0A8V0Y4G8	LRFN1	0.6649697027078205	Down
A0A8V0Y103	PCDH18	0.6408301004875032	Down
A0A8V0X370	DNAH5	0.6538641181955354	Down
A0A8V0XWJ9	LOC416696	0.2660045137023106	Down
A0A8V0XGL8	VIM	0.4551042004271885	Down
A0A8V0XLH4	CFAP206	0.6022824302652018	Down
A0A8V0XMD4	CRYL1	0.6064284991583808	Down
A0A8V0XMA2	B3GLCT	0.5583714959755759	Down
A0A8V0XPE8	LTBP1	0.4800116258719405	Down
A0A8V0XM58	BBS7	0.4705100862167522	Down
A0A8V0XLU3	GINM1	0.5986333612527699	Down
A0A8V0XLN9	SLC39A8	0.6336359444909834	Down
A0A8V0XRN3	NPNT	0.4325768720359645	Down
A0A8V0XG44	LOC107050168	0.22883354873778775	Down
A0A8V0XL71	--	0.5444405009379912	Down
A0A8V0XT35	GALNT12	0.6183194228740115	Down
A0A8V0XKU5	ARL13B	0.5524551445659213	Down
A0A8V0XK73	ZDHHC14	0.23255082276676425	Down
A0A8V0XJE9	ABI3BP	0.23577188478593294	Down
A0A8V0XTW4	KIF13A	0.4679830078134133	Down
A0A8V0XHI6	RP1	0.4368700625607097	Down
A0A8V0XGY8	TPD52	0.5718083146767932	Down
A0A8V0XGV7	CRISPLD1	0.4326684113893876	Down
A0A8V0XSB0	DNAH5L	0.5468675715646268	Down
A0A8V0Y4R7	CD99L2	0.5131708964464847	Down
A0A8V0Y5K2	FGFBP1	0.6086149745176305	Down
A0A8V0Y614	OVALX	0.4648011550661321	Down
A0A1D5NTR5	TENM2	0.6229617035057889	Down
A0A1D5NVM6	MVB12A	0.6189157210697942	Down
A0A8V0YUF6	ADAMTSL1	0.4384592855409487	Down
A0A1D5NWR5	FAM110B	0.4195495224486727	Down
A0A1D5NWT9	C9orf116	0.5278012706865985	Down
A0A1D5NYG2	TENM3	0.5446186168324716	Down
A0A8V0YTH9	--	0.4143785005404344	Down
A0A1D5NZ82	ADAMTS10	0.2794953366749949	Down
A0A8V0YWW6	VWA3A	0.2669410855489477	Down
A0A8V0YTG5	--	0.5317197008578342	Down
A0A8V0YTE6	--	0.6078825509571325	Down
A0A1D5P201	PXYLP1	0.587918964370918	Down
A0A8V0YSI0	--	0.6356989989958152	Down
A0A8V0YSC2	LOC107049084	0.3935473564115742	Down
A0A8V0YRQ0	BPIFB3	0.2769225402647106	Down
A0A8V0YRN1	ADAMTSL3	0.4938311985200503	Down
A0A8V0YR69	DTHD1	0.4867874844610336	Down
A0A8V0YQ88	VASN	0.34039317210938125	Down
A0A1D5P0X0	MYO1A	0.32186268005910856	Down
A0A8V0YPQ6	DNAI7	0.5322987972581045	Down
A0A8V0YXI9	FBLN7	0.5833261700236095	Down
A0A8V0YY70	TTC8	0.5723652131955203	Down
A0A8V0Z697	LRFN5	0.5959553602912446	Down
P07032	ACYP1	0.3919736862979433	Down
P28687	SPCS3	0.6488768447711205	Down
P33005	ANOS1	0.5041081525923173	Down
A0A8V0Z419	BPIL3	0.3231486530543942	Down
A0A8V0Z307	NEMF	0.2642810107458584	Down
A0A8V0Z2J4	FGFRL1	0.5911127484427333	Down
A0A8V0Z249	SLC22A7	0.5667451373101664	Down
Q90YI1	--	0.5979397581235639	Down
A0A8V0Z0B9	MGAT4B	0.5937951576277685	Down
A0A8V0YZG8	SRBD1	0.3894244963869173	Down
A0A8V0YZ82	VWA3B	0.2844678611692369	Down
A0A8V0YYQ7	CFAP70	0.5548731538395237	Down
Q5ZMG0	DDT	0.4849520990893017	Down
A0A8V0YYD5	CFAP65	0.4317374895623073	Down
A0A8V0YYB4	TC2N	0.5151485892522051	Down
A0A8V0YY90	FAM132A	0.5304018319409445	Down
Q8AWB4	POFUT1	0.5878860379611226	Down
A0A8V0Z086	GM2A	0.3466132986135834	Down
A0A8V0Y4Q2	TG	0.043033604735383	Down
A0A1D5PA74	CHPF	0.6134716729116431	Down
A0A8V0YPA6	LOC101749216	0.4108066409353488	Down
A0A8V0YE20	MATN2	0.5368836112908966	Down
A0A1L1RSD2	GUSB	0.5584493166036487	Down
A0A8V0YBZ6	SGSM3	0.5626868902562071	Down
A0A8V0YBD7	OLFML2B	0.14292486873381935	Down
A0A1L1RX77	DCN	0.665441505497795	Down
A0A1L1RZ23	CFAP20	0.4846406196605536	Down
A0A8V0YAR4	LY86	0.5819656848918868	Down
A0A3Q2TYT2	RAB3B	0.42886940271688345	Down
A0A1L1RP76	SH3RF2	0.3495475254321912	Down
A0A8V0YA97	COL10A1	0.2124202714644085	Down
A0A3Q2U2N6	ATP13A3	0.6009800462756348	Down
A0A8V0Y999	GAS1	0.6645368538436633	Down
A0A8V0Y969	--	0.6611212511930876	Down
A0A8V0Y8L6	EXT1	0.4321916756258639	Down
A0A3Q2UEL1	PPCS	0.6107136286187395	Down
A0A8V0Y7Y9	GABARAPL2	0.5441941553650693	Down
A0A8V0Y795	ISOC1	0.4833927595049787	Down
A0A8V0Y722	TTC26	0.581716653208203	Down
A0A3Q2U035	DIP2B	0.2834829960363043	Down
A0A8V0YPB9	SELENOP1	0.469374745944348	Down
A0A8V0YEQ1	WDR19	0.5540728963589676	Down
A0A8V0YFU9	IQCA1	0.4637781594303334	Down
A0A8V0YNC1	LOC101748060	0.4078590464667605	Down
A0A8V0YMR1	FSTL4	0.5443162905459666	Down
A0A8V0YMM6	CHRD	0.6498478546104239	Down
A0A1D5PHW5	NRK	0.6179725843471319	Down
A0A8V0YLZ5	SLC28A3	0.4661950319117131	Down
A0A1D5PJE0	GALNT7	0.3670361878648923	Down
